Player,Nationality,Club,Season,Round,Opponent,Minute,Goal_Type,Venue,Goals_In_Match
Karim Benzema,France,Real Madrid,2018-19,Final,Juventus,30,Header,Home,1
Paulo Dybala,Argentina,Juventus,2020-21,Semi-Final,Inter Milan,3,Right Foot,Away,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2022-23,Group Stage,Juventus,53,Right Foot,Home,1
Lionel Messi,Argentina,Barcelona,2010-11,Semi-Final,Sevilla,59,Right Foot,Away,3
Didier Drogba,Ivory Coast,Chelsea,2016-17,Group Stage,Ac Milan,57,Penalty,Away,1
Erling Haaland,Norway,Manchester City,2011-12,Group Stage,Arsenal,33,Right Foot,Home,1
Luis Suarez,Uruguay,Barcelona,2021-22,Round Of 16,Manchester City,8,Penalty,Away,1
Cristiano Ronaldo,Portugal,Manchester United,2017-18,Group Stage,Borussia Dortmund,67,Free Kick,Away,1
Luka Modric,Croatia,Real Madrid,2023-24,Group Stage,Atletico Madrid,64,Penalty,Away,3
Riyad Mahrez,Algeria,Manchester City,2014-15,Round Of 16,Tottenham Hotspur,76,Left Foot,Home,3
Memphis Depay,Netherlands,Barcelona,2023-24,Group Stage,Juventus,12,Penalty,Home,1
Vinicius Junior,Brazil,Real Madrid,2012-13,Final,Manchester City,32,Penalty,Home,3
Gareth Bale,Wales,Real Madrid,2016-17,Round Of 16,Atletico Madrid,94,Header,Away,1
Bukayo Saka,England,Arsenal,2022-23,Round Of 16,Barcelona,82,Penalty,Away,1
Jude Bellingham,England,Real Madrid,2020-21,Group Stage,Ac Milan,11,Free Kick,Away,1
Fernando Torres,Spain,Liverpool,2019-20,Semi-Final,Manchester United,70,Penalty,Away,1
Cristiano Ronaldo,Portugal,Real Madrid,2017-18,Final,Arsenal,37,Header,Home,1
Mohamed Salah,Egypt,Liverpool,2023-24,Group Stage,Manchester City,89,Penalty,Home,1
Kevin De Bruyne,Belgium,Manchester City,2022-23,Group Stage,Bayern Munich,16,Right Foot,Home,2
Cristiano Ronaldo,Portugal,Real Madrid,2023-24,Final,Barcelona,43,Penalty,Away,1
Zlatan Ibrahimovic,Sweden,Ac Milan,2013-14,Round Of 16,Napoli,55,Free Kick,Home,1
Kylian Mbappe,France,Paris Saint-Germain,2013-14,Group Stage,Ajax,48,Penalty,Away,1
Riyad Mahrez,Algeria,Manchester City,2019-20,Semi-Final,Napoli,48,Right Foot,Away,1
Fernando Torres,Spain,Chelsea,2019-20,Final,Manchester United,59,Penalty,Home,3
Victor Osimhen,Nigeria,Napoli,2012-13,Group Stage,Manchester City,8,Free Kick,Away,2
Filippo Inzaghi,Italy,Ac Milan,2016-17,Final,Sevilla,51,Right Foot,Home,1
Luka Modric,Croatia,Real Madrid,2010-11,Final,Paris Saint-Germain,43,Right Foot,Away,2
Ousmane Dembele,France,Paris Saint-Germain,2013-14,Group Stage,Manchester City,15,Left Foot,Away,1
Neymar Jr,Brazil,Barcelona,2014-15,Group Stage,Chelsea,10,Header,Away,3
Fernando Torres,Spain,Liverpool,2012-13,Final,Sevilla,49,Header,Home,1
Mohamed Salah,Egypt,Liverpool,2015-16,Group Stage,Benfica,84,Penalty,Away,2
Ruud Van Nistelrooy,Netherlands,Real Madrid,2017-18,Round Of 16,Borussia Dortmund,41,Penalty,Home,2
Memphis Depay,Netherlands,Barcelona,2020-21,Round Of 16,Bayern Munich,9,Left Foot,Home,3
Riyad Mahrez,Algeria,Manchester City,2023-24,Final,Benfica,49,Left Foot,Away,1
Mohamed Salah,Egypt,Liverpool,2014-15,Final,Chelsea,11,Header,Away,1
Robert Lewandowski,Poland,Barcelona,2020-21,Group Stage,Atletico Madrid,32,Header,Home,3
Edinson Cavani,Uruguay,Paris Saint-Germain,2023-24,Group Stage,Atletico Madrid,2,Free Kick,Away,3
Luka Modric,Croatia,Real Madrid,2010-11,Semi-Final,Bayern Munich,58,Penalty,Away,2
Victor Osimhen,Nigeria,Napoli,2010-11,Group Stage,Porto,5,Right Foot,Home,1
Mohamed Salah,Egypt,Liverpool,2015-16,Quarter-Final,Tottenham Hotspur,96,Right Foot,Away,1
Joshua Kimmich,Germany,Bayern Munich,2011-12,Semi-Final,Sevilla,21,Left Foot,Home,1
Sadio Mane,Senegal,Bayern Munich,2019-20,Final,Liverpool,95,Header,Away,1
Harry Kane,England,Bayern Munich,2021-22,Group Stage,Inter Milan,46,Header,Home,1
Cristiano Ronaldo,Portugal,Manchester United,2017-18,Group Stage,Juventus,25,Header,Home,2
Sadio Mane,Senegal,Bayern Munich,2023-24,Group Stage,Manchester City,20,Free Kick,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2017-18,Semi-Final,Liverpool,91,Free Kick,Home,1
Jude Bellingham,England,Real Madrid,2019-20,Round Of 16,Juventus,54,Left Foot,Home,2
Zlatan Ibrahimovic,Sweden,Ac Milan,2019-20,Semi-Final,Napoli,81,Penalty,Home,2
Luka Modric,Croatia,Real Madrid,2011-12,Quarter-Final,Napoli,17,Penalty,Away,1
Sergio Aguero,Argentina,Manchester City,2017-18,Round Of 16,Manchester United,61,Header,Away,1
Jude Bellingham,England,Real Madrid,2015-16,Group Stage,Ajax,48,Header,Away,2
Gareth Bale,Wales,Real Madrid,2022-23,Group Stage,Atletico Madrid,50,Penalty,Away,1
Ousmane Dembele,France,Barcelona,2014-15,Quarter-Final,Juventus,90,Penalty,Away,1
Neymar Jr,Brazil,Barcelona,2023-24,Final,Atletico Madrid,65,Right Foot,Home,1
Erling Haaland,Norway,Manchester City,2020-21,Round Of 16,Napoli,21,Penalty,Away,1
Julian Alvarez,Argentina,Manchester City,2019-20,Round Of 16,Inter Milan,83,Penalty,Away,3
Zlatan Ibrahimovic,Sweden,Barcelona,2020-21,Quarter-Final,Real Madrid,16,Right Foot,Home,1
Joshua Kimmich,Germany,Bayern Munich,2011-12,Semi-Final,Ajax,49,Header,Away,1
Neymar Jr,Brazil,Barcelona,2011-12,Round Of 16,Liverpool,22,Header,Home,1
Sergio Aguero,Argentina,Manchester City,2022-23,Final,Juventus,54,Header,Home,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2021-22,Final,Benfica,11,Penalty,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2023-24,Group Stage,Arsenal,20,Free Kick,Home,1
Riyad Mahrez,Algeria,Manchester City,2021-22,Semi-Final,Barcelona,55,Header,Home,2
Antoine Griezmann,France,Atletico Madrid,2021-22,Quarter-Final,Porto,83,Right Foot,Home,1
Ruud Van Nistelrooy,Netherlands,Manchester United,2011-12,Group Stage,Ac Milan,33,Left Foot,Home,1
Neymar Jr,Brazil,Barcelona,2014-15,Group Stage,Juventus,89,Right Foot,Home,2
Gareth Bale,Wales,Real Madrid,2020-21,Group Stage,Manchester City,8,Header,Away,1
Vinicius Junior,Brazil,Real Madrid,2016-17,Round Of 16,Liverpool,32,Penalty,Away,2
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2023-24,Semi-Final,Ajax,65,Free Kick,Home,1
Erling Haaland,Norway,Manchester City,2010-11,Round Of 16,Barcelona,70,Header,Home,1
Kylian Mbappe,France,Real Madrid,2015-16,Group Stage,Chelsea,93,Right Foot,Away,1
Sadio Mane,Senegal,Bayern Munich,2015-16,Group Stage,Real Madrid,57,Header,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2011-12,Quarter-Final,Ajax,83,Right Foot,Away,3
Alessandro Del Piero,Italy,Juventus,2013-14,Round Of 16,Napoli,7,Penalty,Home,3
Luis Suarez,Uruguay,Barcelona,2015-16,Round Of 16,Tottenham Hotspur,48,Penalty,Away,1
Toni Kroos,Germany,Real Madrid,2014-15,Group Stage,Atletico Madrid,46,Left Foot,Away,1
Jude Bellingham,England,Real Madrid,2016-17,Round Of 16,Chelsea,95,Right Foot,Home,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2015-16,Quarter-Final,Napoli,59,Free Kick,Away,1
Alessandro Del Piero,Italy,Juventus,2013-14,Round Of 16,Inter Milan,67,Penalty,Away,1
Raul Gonzalez,Spain,Real Madrid,2015-16,Semi-Final,Ajax,69,Header,Home,2
Raul Gonzalez,Spain,Real Madrid,2015-16,Group Stage,Atletico Madrid,52,Header,Away,1
Cristiano Ronaldo,Portugal,Real Madrid,2016-17,Round Of 16,Benfica,85,Free Kick,Home,2
Filippo Inzaghi,Italy,Ac Milan,2020-21,Group Stage,Real Madrid,7,Penalty,Away,1
Paulo Dybala,Argentina,Juventus,2019-20,Semi-Final,Bayern Munich,17,Left Foot,Away,2
Ruud Van Nistelrooy,Netherlands,Real Madrid,2014-15,Group Stage,Inter Milan,29,Right Foot,Home,1
Victor Osimhen,Nigeria,Napoli,2022-23,Quarter-Final,Borussia Dortmund,55,Penalty,Home,1
Cristiano Ronaldo,Portugal,Manchester United,2016-17,Round Of 16,Inter Milan,18,Right Foot,Away,1
Ruud Van Nistelrooy,Netherlands,Real Madrid,2010-11,Quarter-Final,Juventus,59,Right Foot,Away,2
Kevin De Bruyne,Belgium,Manchester City,2017-18,Group Stage,Barcelona,75,Right Foot,Away,2
Kevin De Bruyne,Belgium,Manchester City,2017-18,Round Of 16,Juventus,96,Penalty,Away,2
Jude Bellingham,England,Real Madrid,2016-17,Group Stage,Atletico Madrid,91,Penalty,Home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2014-15,Round Of 16,Inter Milan,17,Right Foot,Home,2
Antoine Griezmann,France,Atletico Madrid,2019-20,Group Stage,Inter Milan,82,Right Foot,Away,2
Memphis Depay,Netherlands,Barcelona,2023-24,Round Of 16,Real Madrid,57,Header,Home,1
Toni Kroos,Germany,Real Madrid,2015-16,Round Of 16,Benfica,11,Header,Home,2
Luis Suarez,Uruguay,Barcelona,2015-16,Round Of 16,Tottenham Hotspur,11,Header,Away,3
Antoine Griezmann,France,Atletico Madrid,2023-24,Semi-Final,Chelsea,87,Free Kick,Away,1
Kylian Mbappe,France,Real Madrid,2023-24,Final,Sevilla,31,Right Foot,Away,1
Alessandro Del Piero,Italy,Juventus,2012-13,Group Stage,Liverpool,17,Right Foot,Home,1
Karim Benzema,France,Real Madrid,2017-18,Quarter-Final,Tottenham Hotspur,21,Free Kick,Away,1
Memphis Depay,Netherlands,Barcelona,2011-12,Group Stage,Inter Milan,37,Header,Home,1
Kylian Mbappe,France,Real Madrid,2023-24,Group Stage,Paris Saint-Germain,9,Penalty,Home,1
Jude Bellingham,England,Real Madrid,2010-11,Semi-Final,Benfica,95,Free Kick,Home,1
Julian Alvarez,Argentina,Manchester City,2021-22,Quarter-Final,Ac Milan,4,Left Foot,Home,2
Riyad Mahrez,Algeria,Manchester City,2013-14,Group Stage,Real Madrid,6,Right Foot,Away,1
Kevin De Bruyne,Belgium,Manchester City,2016-17,Quarter-Final,Juventus,24,Right Foot,Away,2
Antoine Griezmann,France,Atletico Madrid,2011-12,Group Stage,Borussia Dortmund,45,Right Foot,Away,1
Mohamed Salah,Egypt,Liverpool,2011-12,Group Stage,Tottenham Hotspur,48,Left Foot,Away,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2022-23,Quarter-Final,Bayern Munich,40,Left Foot,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2014-15,Quarter-Final,Porto,21,Header,Home,1
Kevin De Bruyne,Belgium,Manchester City,2017-18,Semi-Final,Manchester United,48,Right Foot,Away,3
Robert Lewandowski,Poland,Bayern Munich,2013-14,Quarter-Final,Chelsea,55,Right Foot,Home,1
Luka Modric,Croatia,Real Madrid,2010-11,Group Stage,Manchester United,83,Right Foot,Home,1
Cristiano Ronaldo,Portugal,Real Madrid,2013-14,Group Stage,Inter Milan,8,Penalty,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2014-15,Group Stage,Manchester United,78,Header,Home,2
Filippo Inzaghi,Italy,Ac Milan,2012-13,Group Stage,Arsenal,73,Penalty,Home,1
Joshua Kimmich,Germany,Bayern Munich,2021-22,Final,Ac Milan,79,Penalty,Home,1
Sergio Aguero,Argentina,Manchester City,2012-13,Final,Paris Saint-Germain,68,Left Foot,Home,1
Ruud Van Nistelrooy,Netherlands,Real Madrid,2023-24,Group Stage,Bayern Munich,36,Header,Home,1
Kevin De Bruyne,Belgium,Manchester City,2011-12,Semi-Final,Bayern Munich,18,Penalty,Away,1
Alessandro Del Piero,Italy,Juventus,2016-17,Quarter-Final,Liverpool,55,Penalty,Away,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2015-16,Semi-Final,Chelsea,23,Header,Away,1
Ousmane Dembele,France,Barcelona,2022-23,Semi-Final,Real Madrid,1,Penalty,Away,1
Jude Bellingham,England,Real Madrid,2016-17,Quarter-Final,Porto,61,Right Foot,Home,1
Thomas Muller,Germany,Bayern Munich,2010-11,Round Of 16,Manchester City,64,Right Foot,Away,1
Bernardo Silva,Portugal,Manchester City,2020-21,Round Of 16,Paris Saint-Germain,88,Free Kick,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2018-19,Round Of 16,Porto,7,Header,Home,2
Luka Modric,Croatia,Real Madrid,2017-18,Quarter-Final,Tottenham Hotspur,5,Right Foot,Home,1
Bukayo Saka,England,Arsenal,2015-16,Round Of 16,Manchester City,48,Left Foot,Away,2
Toni Kroos,Germany,Real Madrid,2023-24,Group Stage,Napoli,10,Penalty,Home,1
Luis Suarez,Uruguay,Barcelona,2010-11,Final,Napoli,12,Right Foot,Away,1
Thomas Muller,Germany,Bayern Munich,2013-14,Round Of 16,Tottenham Hotspur,61,Right Foot,Home,1
Victor Osimhen,Nigeria,Napoli,2016-17,Group Stage,Real Madrid,89,Free Kick,Away,1
Victor Osimhen,Nigeria,Napoli,2019-20,Group Stage,Real Madrid,20,Penalty,Away,1
Karim Benzema,France,Real Madrid,2019-20,Final,Bayern Munich,28,Right Foot,Home,1
Memphis Depay,Netherlands,Barcelona,2012-13,Group Stage,Sevilla,6,Free Kick,Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2019-20,Group Stage,Barcelona,3,Header,Away,1
Ousmane Dembele,France,Barcelona,2017-18,Final,Ajax,55,Right Foot,Home,2
Gareth Bale,Wales,Real Madrid,2020-21,Round Of 16,Atletico Madrid,86,Penalty,Home,1
Kylian Mbappe,France,Paris Saint-Germain,2016-17,Group Stage,Porto,65,Header,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2022-23,Group Stage,Ajax,6,Penalty,Home,1
Kevin De Bruyne,Belgium,Manchester City,2013-14,Group Stage,Napoli,20,Penalty,Away,1
Ruud Van Nistelrooy,Netherlands,Real Madrid,2018-19,Group Stage,Sevilla,17,Right Foot,Away,1
Thomas Muller,Germany,Bayern Munich,2014-15,Group Stage,Liverpool,79,Penalty,Away,3
Joshua Kimmich,Germany,Bayern Munich,2013-14,Round Of 16,Ajax,30,Penalty,Home,1
Joshua Kimmich,Germany,Bayern Munich,2013-14,Quarter-Final,Paris Saint-Germain,54,Left Foot,Home,1
Cristiano Ronaldo,Portugal,Real Madrid,2020-21,Semi-Final,Borussia Dortmund,89,Right Foot,Away,1
Ousmane Dembele,France,Paris Saint-Germain,2018-19,Quarter-Final,Manchester United,19,Right Foot,Home,2
Julian Alvarez,Argentina,Manchester City,2011-12,Quarter-Final,Chelsea,16,Right Foot,Home,3
Bernardo Silva,Portugal,Manchester City,2012-13,Round Of 16,Tottenham Hotspur,91,Right Foot,Away,3
Cristiano Ronaldo,Portugal,Real Madrid,2022-23,Quarter-Final,Liverpool,49,Right Foot,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2014-15,Final,Inter Milan,11,Penalty,Home,1
Paulo Dybala,Argentina,Juventus,2019-20,Round Of 16,Barcelona,79,Free Kick,Away,1
Luis Suarez,Uruguay,Barcelona,2010-11,Final,Chelsea,21,Free Kick,Home,3
Mohamed Salah,Egypt,Liverpool,2019-20,Round Of 16,Barcelona,71,Right Foot,Home,3
Didier Drogba,Ivory Coast,Chelsea,2013-14,Semi-Final,Inter Milan,36,Free Kick,Away,3
Toni Kroos,Germany,Real Madrid,2016-17,Group Stage,Porto,70,Penalty,Home,3
Karim Benzema,France,Real Madrid,2010-11,Semi-Final,Borussia Dortmund,38,Free Kick,Away,1
Ruud Van Nistelrooy,Netherlands,Manchester United,2021-22,Group Stage,Inter Milan,28,Header,Home,1
Ousmane Dembele,France,Barcelona,2016-17,Round Of 16,Ac Milan,6,Penalty,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2013-14,Round Of 16,Paris Saint-Germain,27,Penalty,Home,2
Harry Kane,England,Tottenham Hotspur,2021-22,Semi-Final,Porto,48,Penalty,Home,1
Luis Suarez,Uruguay,Atletico Madrid,2021-22,Round Of 16,Real Madrid,86,Header,Away,1
Sergio Aguero,Argentina,Manchester City,2010-11,Group Stage,Barcelona,74,Free Kick,Away,2
Didier Drogba,Ivory Coast,Chelsea,2011-12,Semi-Final,Ac Milan,87,Right Foot,Away,2
Jude Bellingham,England,Real Madrid,2011-12,Round Of 16,Porto,46,Penalty,Away,1
Memphis Depay,Netherlands,Barcelona,2021-22,Quarter-Final,Tottenham Hotspur,33,Penalty,Home,1
Andriy Shevchenko,Ukraine,Ac Milan,2022-23,Round Of 16,Real Madrid,85,Header,Away,1
Gareth Bale,Wales,Real Madrid,2012-13,Semi-Final,Ajax,48,Left Foot,Home,1
Vinicius Junior,Brazil,Real Madrid,2012-13,Final,Arsenal,41,Right Foot,Home,2
Zlatan Ibrahimovic,Sweden,Inter Milan,2020-21,Quarter-Final,Liverpool,5,Header,Home,1
Ruud Van Nistelrooy,Netherlands,Real Madrid,2011-12,Group Stage,Napoli,55,Right Foot,Away,2
Gareth Bale,Wales,Real Madrid,2019-20,Round Of 16,Porto,88,Penalty,Home,2
Robert Lewandowski,Poland,Borussia Dortmund,2012-13,Round Of 16,Manchester United,61,Header,Home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2010-11,Group Stage,Sevilla,74,Header,Away,1
Fernando Torres,Spain,Liverpool,2021-22,Group Stage,Borussia Dortmund,23,Free Kick,Away,1
Bernardo Silva,Portugal,Manchester City,2011-12,Round Of 16,Real Madrid,89,Header,Home,3
Kevin De Bruyne,Belgium,Manchester City,2012-13,Round Of 16,Inter Milan,71,Right Foot,Away,1
Vinicius Junior,Brazil,Real Madrid,2011-12,Round Of 16,Bayern Munich,14,Header,Home,1
Lionel Messi,Argentina,Paris Saint-Germain,2017-18,Round Of 16,Sevilla,73,Penalty,Home,1
Jude Bellingham,England,Real Madrid,2016-17,Quarter-Final,Bayern Munich,41,Left Foot,Away,1
Toni Kroos,Germany,Real Madrid,2013-14,Round Of 16,Juventus,23,Penalty,Home,3
Wayne Rooney,England,Manchester United,2021-22,Group Stage,Arsenal,16,Right Foot,Home,2
Jude Bellingham,England,Real Madrid,2014-15,Group Stage,Borussia Dortmund,23,Header,Away,1
Mohamed Salah,Egypt,Liverpool,2021-22,Round Of 16,Chelsea,36,Free Kick,Home,1
Luis Suarez,Uruguay,Atletico Madrid,2023-24,Quarter-Final,Napoli,34,Penalty,Home,1
Luka Modric,Croatia,Real Madrid,2010-11,Group Stage,Napoli,75,Penalty,Away,1
Bukayo Saka,England,Arsenal,2010-11,Group Stage,Real Madrid,44,Right Foot,Home,1
Thomas Muller,Germany,Bayern Munich,2016-17,Round Of 16,Ac Milan,60,Free Kick,Home,2
Filippo Inzaghi,Italy,Ac Milan,2015-16,Group Stage,Benfica,65,Right Foot,Home,3
Kevin De Bruyne,Belgium,Manchester City,2018-19,Group Stage,Ajax,19,Right Foot,Away,1
Antoine Griezmann,France,Atletico Madrid,2016-17,Final,Manchester City,92,Free Kick,Home,1
Paulo Dybala,Argentina,Juventus,2020-21,Round Of 16,Sevilla,33,Header,Away,1
Erling Haaland,Norway,Manchester City,2011-12,Round Of 16,Borussia Dortmund,49,Left Foot,Home,2
Toni Kroos,Germany,Real Madrid,2012-13,Group Stage,Manchester City,44,Right Foot,Home,1
Vinicius Junior,Brazil,Real Madrid,2022-23,Group Stage,Barcelona,86,Right Foot,Away,2
Jude Bellingham,England,Real Madrid,2023-24,Group Stage,Chelsea,30,Penalty,Away,1
Vinicius Junior,Brazil,Real Madrid,2020-21,Semi-Final,Sevilla,27,Right Foot,Home,1
Riyad Mahrez,Algeria,Manchester City,2017-18,Final,Real Madrid,11,Penalty,Away,2
Kevin De Bruyne,Belgium,Manchester City,2022-23,Round Of 16,Tottenham Hotspur,65,Right Foot,Away,1
Jude Bellingham,England,Real Madrid,2010-11,Group Stage,Napoli,41,Free Kick,Away,2
Bernardo Silva,Portugal,Manchester City,2017-18,Group Stage,Ac Milan,46,Penalty,Home,1
Bernardo Silva,Portugal,Manchester City,2021-22,Round Of 16,Bayern Munich,17,Right Foot,Away,2
Memphis Depay,Netherlands,Barcelona,2018-19,Round Of 16,Manchester United,49,Penalty,Away,1
Mohamed Salah,Egypt,Liverpool,2022-23,Group Stage,Sevilla,16,Penalty,Away,2
Filippo Inzaghi,Italy,Ac Milan,2013-14,Final,Borussia Dortmund,17,Header,Home,1
Neymar Jr,Brazil,Barcelona,2012-13,Semi-Final,Borussia Dortmund,54,Free Kick,Home,1
Raul Gonzalez,Spain,Real Madrid,2015-16,Group Stage,Arsenal,17,Penalty,Home,1
Vinicius Junior,Brazil,Real Madrid,2022-23,Final,Ajax,76,Right Foot,Home,1
Alessandro Del Piero,Italy,Juventus,2018-19,Group Stage,Sevilla,25,Left Foot,Home,2
Raul Gonzalez,Spain,Real Madrid,2014-15,Round Of 16,Juventus,28,Left Foot,Home,1
Ousmane Dembele,France,Barcelona,2017-18,Round Of 16,Atletico Madrid,45,Left Foot,Away,3
Alfredo Di Stefano,Argentina,Real Madrid,2014-15,Round Of 16,Ajax,94,Left Foot,Home,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2013-14,Group Stage,Juventus,19,Left Foot,Away,1
Sergio Aguero,Argentina,Manchester City,2015-16,Group Stage,Porto,89,Header,Home,1
Thomas Muller,Germany,Bayern Munich,2021-22,Final,Barcelona,14,Right Foot,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2021-22,Round Of 16,Borussia Dortmund,36,Right Foot,Away,2
Lionel Messi,Argentina,Paris Saint-Germain,2023-24,Quarter-Final,Manchester United,22,Free Kick,Away,1
Bernardo Silva,Portugal,Manchester City,2010-11,Round Of 16,Chelsea,9,Right Foot,Home,1
Wayne Rooney,England,Manchester United,2010-11,Group Stage,Bayern Munich,2,Right Foot,Away,3
Jude Bellingham,England,Real Madrid,2018-19,Group Stage,Ac Milan,14,Penalty,Away,2
Gareth Bale,Wales,Real Madrid,2017-18,Semi-Final,Manchester City,94,Penalty,Home,1
Bukayo Saka,England,Arsenal,2017-18,Group Stage,Tottenham Hotspur,12,Penalty,Home,1
Joshua Kimmich,Germany,Bayern Munich,2013-14,Group Stage,Paris Saint-Germain,25,Left Foot,Home,2
Cristiano Ronaldo,Portugal,Manchester United,2022-23,Round Of 16,Chelsea,78,Penalty,Home,1
Robert Lewandowski,Poland,Bayern Munich,2016-17,Semi-Final,Real Madrid,56,Right Foot,Home,1
Jude Bellingham,England,Real Madrid,2013-14,Round Of 16,Juventus,45,Free Kick,Away,1
Zlatan Ibrahimovic,Sweden,Ac Milan,2011-12,Group Stage,Napoli,80,Left Foot,Away,1
Gareth Bale,Wales,Real Madrid,2012-13,Final,Napoli,18,Penalty,Away,2
Karim Benzema,France,Real Madrid,2023-24,Final,Porto,23,Header,Home,1
Joshua Kimmich,Germany,Bayern Munich,2018-19,Quarter-Final,Atletico Madrid,34,Right Foot,Home,2
Robert Lewandowski,Poland,Barcelona,2016-17,Round Of 16,Sevilla,32,Free Kick,Home,1
Paulo Dybala,Argentina,Juventus,2015-16,Group Stage,Napoli,16,Right Foot,Home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2023-24,Group Stage,Manchester United,11,Left Foot,Home,2
Neymar Jr,Brazil,Barcelona,2011-12,Group Stage,Real Madrid,48,Penalty,Home,1
Gareth Bale,Wales,Real Madrid,2023-24,Quarter-Final,Barcelona,42,Penalty,Home,1
Paulo Dybala,Argentina,Juventus,2019-20,Round Of 16,Manchester United,89,Header,Away,1
Thomas Muller,Germany,Bayern Munich,2014-15,Quarter-Final,Manchester City,24,Free Kick,Home,1
Sergio Aguero,Argentina,Manchester City,2016-17,Group Stage,Atletico Madrid,56,Right Foot,Home,1
Luis Suarez,Uruguay,Atletico Madrid,2011-12,Round Of 16,Tottenham Hotspur,31,Header,Away,1
Kylian Mbappe,France,Real Madrid,2019-20,Round Of 16,Bayern Munich,4,Penalty,Home,1
Filippo Inzaghi,Italy,Ac Milan,2021-22,Final,Real Madrid,88,Left Foot,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2011-12,Semi-Final,Paris Saint-Germain,76,Penalty,Away,3
Neymar Jr,Brazil,Paris Saint-Germain,2014-15,Group Stage,Inter Milan,13,Penalty,Home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2019-20,Round Of 16,Sevilla,96,Penalty,Home,2
Ousmane Dembele,France,Barcelona,2016-17,Group Stage,Tottenham Hotspur,59,Free Kick,Home,1
Alessandro Del Piero,Italy,Juventus,2017-18,Group Stage,Bayern Munich,65,Header,Away,2
Thomas Muller,Germany,Bayern Munich,2014-15,Group Stage,Porto,22,Right Foot,Away,3
Wayne Rooney,England,Manchester United,2023-24,Group Stage,Napoli,89,Free Kick,Away,1
Vinicius Junior,Brazil,Real Madrid,2013-14,Group Stage,Paris Saint-Germain,77,Right Foot,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2013-14,Group Stage,Benfica,36,Right Foot,Away,1
Paulo Dybala,Argentina,Juventus,2023-24,Semi-Final,Paris Saint-Germain,63,Header,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2020-21,Quarter-Final,Arsenal,38,Right Foot,Away,2
Kylian Mbappe,France,Paris Saint-Germain,2023-24,Semi-Final,Bayern Munich,49,Right Foot,Home,1
Vinicius Junior,Brazil,Real Madrid,2010-11,Group Stage,Arsenal,12,Penalty,Away,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2020-21,Final,Atletico Madrid,79,Penalty,Away,3
Robert Lewandowski,Poland,Borussia Dortmund,2023-24,Quarter-Final,Bayern Munich,62,Penalty,Home,2
Memphis Depay,Netherlands,Barcelona,2016-17,Round Of 16,Manchester United,73,Right Foot,Home,1
Andriy Shevchenko,Ukraine,Ac Milan,2021-22,Final,Liverpool,85,Header,Home,2
Memphis Depay,Netherlands,Barcelona,2022-23,Semi-Final,Ac Milan,92,Left Foot,Home,1
Sadio Mane,Senegal,Bayern Munich,2015-16,Group Stage,Borussia Dortmund,53,Right Foot,Away,2
Luka Modric,Croatia,Real Madrid,2015-16,Round Of 16,Ac Milan,82,Penalty,Away,3
Toni Kroos,Germany,Real Madrid,2023-24,Final,Benfica,50,Right Foot,Home,1
Victor Osimhen,Nigeria,Napoli,2014-15,Semi-Final,Atletico Madrid,59,Right Foot,Away,1
Zlatan Ibrahimovic,Sweden,Inter Milan,2023-24,Group Stage,Arsenal,20,Penalty,Away,1
Ruud Van Nistelrooy,Netherlands,Manchester United,2011-12,Group Stage,Atletico Madrid,48,Free Kick,Away,3
Gareth Bale,Wales,Real Madrid,2021-22,Group Stage,Ac Milan,9,Penalty,Away,1
Zlatan Ibrahimovic,Sweden,Ac Milan,2014-15,Round Of 16,Paris Saint-Germain,81,Left Foot,Away,1
Julian Alvarez,Argentina,Manchester City,2011-12,Final,Barcelona,84,Right Foot,Home,1
Victor Osimhen,Nigeria,Napoli,2023-24,Round Of 16,Ac Milan,21,Header,Away,3
Paulo Dybala,Argentina,Juventus,2018-19,Semi-Final,Manchester United,9,Header,Home,2
Neymar Jr,Brazil,Barcelona,2014-15,Round Of 16,Ac Milan,36,Free Kick,Away,2
