Player,Nationality,Club,Season,Round,Opponent,Minute,Goal_Type,Venue,Goals_In_Match
Mohamed Salah,Egypt,Liverpool,2012-13,R16,Borussia Dortmund,61,PENALTY,Home ,1
Toni Kroos,Germany,Real Madrid,2017-18,Quarter-final,Inter Milan,11,Right Foot,Away,1
Alessandro Del Piero,Italy,Juventus,2019-20,Semi-final,,91,Left Foot,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2016-17,GROUP STAGE,Porto,12,right foot,Home,1
Cristiano Ronaldo,Portugal,Real Madrid,2021-22,R16,Liverpool,47,PENALTY,Home,1
Andriy Shevchenko,Ukraine,AC Milan,2021-22,Final,Manchester City,54,header, Away,1
Filippo Inzaghi,Italy,AC Milan,2020-21,Group stage,Manchester City,27,Penalty,AWAY,2
Vinicius Junior,Brazil,Real Madrid  ,2010-11,Quarter-final,Atletico Madrid,76,Header,Home ,1
Neymar Jr,Brazil,Paris Saint-Germain,2010-11,Quarter-final,Tottenham Hotspur,65,right foot,Home,1
Memphis Depay,Netherlands,Barcelona,2012-13,Final,Liverpool,90,Header,Home,1
Jude Bellingham,England,Real Madrid,2015-16,Group stage,Porto,16,Free Kick,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2019-20,R16,Chelsea,40,Left Foot,AWAY,1
Memphis Depay,Netherlands,Barcelona,2020-21,Group stage,Arsenal,41,header,AWAY,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2012-13,Semi-final,Bayern Munich,5,Left Foot,Away,1
Lionel Messi,Argentina,Paris Saint-Germain,2013-14,Group stage,Paris Saint-Germain,53,PENALTY,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2020-21,Group stage,Real Madrid,29,Right Foot,AWAY,2
  FILIPPO INZAGHI  ,Italy,AC Milan,2015-16,Semi-final,Ajax,83,Left Foot,Home ,3
Gareth Bale,Wales,Real Madrid,2020-21,Quarter-final,Bayern Munich,77,Header,home,2
Antoine Griezmann,France,Atletico Madrid,2023-24,Group Stage,Arsenal,53,Right Foot,Away,3
Bukayo Saka,England,Arsenal,2017-18,Semi-final,Tottenham Hotspur,28,Left Foot,home,2
Riyad Mahrez,Algeria,Manchester City,2021-22,GROUP STAGE,Arsenal,22,Left Foot, Away,3
Joshua Kimmich,Germany,Bayern Munich,2023-24,Final,Manchester City,32,Left Foot,Home ,1
Bukayo Saka,England,Arsenal,2019-20,Final,Tottenham Hotspur,81,PENALTY,AWAY,1
  LUKA MODRIC  ,Croatia,Real Madrid,2011-12,GROUP STAGE,Bayern Munich,57,PENALTY,Away,3
Fernando Torres,Spain,Liverpool,2023-24,Final,Bayern Munich,16,right foot,Away,2
robert lewandowski,Poland,Bayern Munich,2020-21,Semi-final,Liverpool,42,Left Foot,Home,3
Jude Bellingham,England,Real Madrid,2017-18,Final,Chelsea,63,right foot,Home ,1
Bukayo Saka,England,Arsenal  ,2017-18,Final,Chelsea,45',Left Foot,home,1
Kylian Mbappe,France,Real Madrid,2010-11,Round of 16,Manchester United,61,Penalty,Home ,3
Joshua Kimmich,Germany,Bayern Munich,2019-20,Group Stage,Bayern Munich,85,Left Foot, Away,1
Ruud van Nistelrooy,Netherlands,Manchester United,2022-23,Group stage,Borussia Dortmund,18,Left Foot,AWAY,1
Neymar Jr,Brazil,Barcelona,2014-15,Round of 16,Napoli,80,header,AWAY,1
  JOSHUA KIMMICH  ,Germany,Bayern Munich,2023-24,R16,Manchester City,85,Left Foot,AWAY,2
Vinicius Junior,Brazil,Real Madrid,2015-16,Final,Napoli,31,header, Away,2
Bernardo Silva,Portugal,Manchester City,2022-23,R16,Juventus,15,Left Foot,home,1
Didier Drogba,Ivory Coast,Chelsea,2013-14,Group stage,Juventus,84,PENALTY,home,1
Memphis Depay,Netherlands,Barcelona,2016-17,R16,Arsenal,53,Right Foot,home,1
Julian Alvarez,Argentina,Manchester City,2014-15,R16,Paris Saint-Germain,63,Free Kick,Home ,3
Karim Benzema,France,Real Madrid,2018-19,Final,Juventus,30,header,home,1
Paulo Dybala,Argentina,Juventus,2020-21,Semi-final,Inter Milan,3,right foot,AWAY,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2022-23,GROUP STAGE,Juventus,53,Right Foot,home,1
Lionel Messi,Argentina,Barcelona,2010-11,Semi-final,Sevilla,59,right foot,Away,3
Didier Drogba,Ivory Coast,Chelsea,2016-17,GROUP STAGE,AC Milan,57,PENALTY,AWAY,1
Paulo Dybala,Argentina,Juventus,2021-22,GROUP STAGE,,94,Left Foot,Home,2
Erling Haaland,Norway,Manchester City,2011-12,Group Stage,Arsenal,33,Right Foot,Home ,1
Luis Suarez,Uruguay,Barcelona,2021-22,Round of 16,Manchester City,8,PENALTY,Away,1
Cristiano Ronaldo,Portugal,Manchester United,2017-18,Group stage,Borussia Dortmund,67,Free Kick,Away,1
Luka Modric,Croatia,Real Madrid,2023-24,GROUP STAGE,Atletico Madrid,64,Penalty,AWAY,3
Riyad Mahrez,Algeria,Manchester City,2014-15,Round of 16,Tottenham Hotspur,76,Left Foot,home,3
Memphis Depay,Netherlands,Barcelona,2023-24,Group stage,Juventus,12,PENALTY,Home,1
Vinicius Junior,Brazil,Real Madrid,2012-13,Final,Manchester City,32,PENALTY,home,3
Bukayo Saka,England,Arsenal,2011-12,Final,,48,Penalty,Home,1
Gareth Bale,Wales,Real Madrid,2016-17,R16,Atletico Madrid,94,header,AWAY,1
Bukayo Saka,England,Arsenal,2022-23,R16,Barcelona,82,Penalty, Away,1
jude bellingham,England,Real Madrid,2020-21,Group Stage,AC Milan,11,Free Kick, Away,1
Julian Alvarez,Argentina,Manchester City,2022-23,Round of 16,,88,Free Kick,Away,2
Fernando Torres,Spain,Liverpool,2019-20,Semi-final,Manchester United,70,PENALTY,AWAY,1
Cristiano Ronaldo,Portugal,Real Madrid,2017-18,Final,Arsenal,37,header,Home,1
Mohamed Salah,Egypt,Liverpool,2023-24,Group Stage,Manchester City,89,PENALTY,home,1
Kevin De Bruyne,Belgium,Manchester City,2022-23,Group stage,Bayern Munich,16,Right Foot,home,2
  CRISTIANO RONALDO  ,Portugal,Real Madrid,2023-24,Final,Barcelona,43,PENALTY,AWAY,1
Zlatan Ibrahimovic,Sweden,AC Milan,2013-14,Round of 16,Napoli,55,Free Kick,Home ,1
Kylian Mbappe,France,Paris Saint-Germain,2013-14,Group Stage,Ajax,,Penalty,AWAY,1
Didier Drogba,Ivory Coast,Chelsea,2013-14,Round of 16,,3,Free Kick,Away,1
Riyad Mahrez,Algeria,Manchester City,2019-20,Semi-final,Napoli,,right foot,AWAY,1
Fernando Torres,Spain,Chelsea,2019-20,Final,Manchester United,59,PENALTY,Home,3
Victor Osimhen,Nigeria,Napoli,2012-13,GROUP STAGE,Manchester City,8,Free Kick, Away,2
Filippo Inzaghi,Italy,AC Milan,2016-17,Final,Sevilla,51,right foot,Home,1
Luka Modric,Croatia,Real Madrid,2015-16,Final,,58,Penalty,Home,1
Luka Modric,Croatia,Real Madrid,2010-11,Final,Paris Saint-Germain,43,Right Foot, Away,2
Bernardo Silva,Portugal,Manchester City,2012-13,Semi-final,,56,Header,Home,3
Ousmane Dembele,France,Barcelona,2016-17,Semi-final,,33,Penalty,home,1
Ousmane Dembele,France,Paris Saint-Germain,2013-14,Group Stage,Manchester City,15,Left Foot,Away,1
Neymar Jr,Brazil,Barcelona,2014-15,GROUP STAGE,Chelsea,10',header,Away,3
Fernando Torres,Spain,Liverpool,2012-13,Final,Sevilla,49,Header,Home,1
Mohamed Salah,Egypt,Liverpool,2015-16,GROUP STAGE,Benfica,84,Penalty,AWAY,2
Ruud van Nistelrooy,Netherlands,Real Madrid,2017-18,Round of 16,Borussia Dortmund,41,PENALTY,Home,2
Memphis Depay,Netherlands,Barcelona,2020-21,Round of 16,Bayern Munich,9,Left Foot,Home,3
Riyad Mahrez,Algeria,Manchester City,2023-24,Final,Benfica,49,Left Foot,Away,1
Bernardo Silva,Portugal,Manchester City,2023-24,R16,,62,right foot, Away,1
Mohamed Salah,Egypt,Liverpool,2014-15,Final,Chelsea,11,Header,Away,1
Robert Lewandowski,Poland,Barcelona,2020-21,Group Stage,Atletico Madrid,32,Header,Home ,3
Edinson Cavani,Uruguay,Paris Saint-Germain,2023-24,GROUP STAGE,Atletico Madrid,2,Free Kick,AWAY,3
Luka Modric,Croatia,Real Madrid,2010-11,Semi-final,Bayern Munich,58,PENALTY,AWAY,2
Victor Osimhen,Nigeria,Napoli,2010-11,GROUP STAGE,Porto,5,right foot,Home ,1
mohamed salah,Egypt,Liverpool,2015-16,Quarter-final,Tottenham Hotspur,96,Right Foot,Away,1
Joshua Kimmich,Germany,Bayern Munich,2011-12,Semi-final,Sevilla,21,Left Foot,Home,1
Sadio Mane,Senegal,Bayern Munich,2019-20,Final,Liverpool,95,header,Away,1
Harry Kane,England,Bayern Munich,2021-22,Group stage,Inter Milan,46,header,home,1
  CRISTIANO RONALDO  ,Portugal,Manchester United,2017-18,Group stage,Juventus,25,header,Home,2
  SADIO MANE  ,Senegal,Bayern Munich,2023-24,GROUP STAGE,Manchester City,20,Free Kick, Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2017-18,Semi-final,Liverpool,91,Free Kick,Home,1
Jude Bellingham,England,Real Madrid,2019-20,Round of 16,Juventus,54,Left Foot,home,2
Toni Kroos,Germany,Real Madrid,2015-16,Group stage,,72,Penalty,Home,1
Zlatan Ibrahimovic,Sweden,AC Milan,2019-20,Semi-final,Napoli,81,PENALTY,home,2
Luka Modric,Croatia,Real Madrid,2011-12,Quarter-final,Napoli,17,Penalty,Away,1
Sergio Aguero,Argentina,Manchester City,2017-18,R16,Manchester United,61,header, Away,1
Jude Bellingham,England,Real Madrid  ,2015-16,Group Stage,Ajax,,header,AWAY,2
Gareth Bale,Wales,Real Madrid,2022-23,Group Stage,Atletico Madrid,50,Penalty, Away,1
Ousmane Dembele,,Barcelona,2014-15,Quarter-final,Juventus,90,Penalty, Away,1
  NEYMAR JR  ,Brazil,Barcelona  ,2023-24,Final,Atletico Madrid,65',Right Foot,home,1
Paulo Dybala,Argentina,Juventus,2019-20,Semi-final,,70,Free Kick,home,1
Erling Haaland,Norway,Manchester City,2020-21,Round of 16,Napoli,21,Penalty,Away,1
Julian Alvarez,Argentina,Manchester City,2019-20,Round of 16,Inter Milan,83,PENALTY,AWAY,3
Zlatan Ibrahimovic,Sweden,Barcelona,2020-21,Quarter-final,Real Madrid,16,right foot,home,1
Joshua Kimmich,Germany,Bayern Munich,2011-12,Semi-final,Ajax,49,header,Away,1
Neymar Jr,Brazil,Barcelona,2011-12,R16,Liverpool,22',Header,Home ,1
Sergio Aguero,Argentina,Manchester City,2022-23,Final,Juventus,54,header,home,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2021-22,Final,Benfica,11,Penalty,AWAY,1
Alfredo Di Stefano,Argentina,Real Madrid,2023-24,GROUP STAGE,Arsenal,20,Free Kick,home,1
Riyad Mahrez,Algeria,Manchester City,2021-22,Semi-final,Barcelona,55,Header,home,2
Antoine Griezmann,France,Atletico Madrid,2021-22,Quarter-final,Porto,83,Right Foot,Home ,1
Ruud van Nistelrooy,Netherlands,Manchester United,2011-12,Group Stage,AC Milan,33,Left Foot,Home ,1
  SERGIO AGUERO  ,Argentina,Manchester City,2012-13,Quarter-final,Manchester City,7,right foot,AWAY,2
Neymar Jr,Brazil,Barcelona,2014-15,Group stage,Juventus,89,right foot,Home ,2
Gareth Bale,Wales,Real Madrid  ,2020-21,GROUP STAGE,Manchester City,8,header,AWAY,1
vinicius junior,Brazil,Real Madrid,2016-17,Round of 16,Liverpool,32,PENALTY,AWAY,2
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2023-24,Semi-final,Ajax,65,Free Kick,Home ,1
Erling Haaland,Norway,Manchester City,2010-11,R16,Barcelona,70,Header,Home,1
Kylian Mbappe,France,Real Madrid,2015-16,GROUP STAGE,Chelsea,93,Right Foot,Away,1
Sadio Mane,Senegal,Bayern Munich,2015-16,GROUP STAGE,Real Madrid,57,header,Home,1
Neymar Jr,,Paris Saint-Germain,2011-12,Quarter-final,Ajax,83,right foot,AWAY,3
Alessandro Del Piero,Italy,Juventus,2013-14,Round of 16,Napoli,7',PENALTY,Home ,3
Luis Suarez,Uruguay,Barcelona,2015-16,Round of 16,Tottenham Hotspur,48,Penalty,AWAY,1
Toni Kroos,Germany,Real Madrid,2014-15,Group Stage,Atletico Madrid,46,Left Foot,AWAY,1
Cristiano Ronaldo,Portugal,Real Madrid,2022-23,Group Stage,,49,Header,Home,3
  JUDE BELLINGHAM  ,England,Real Madrid,2016-17,R16,Chelsea,95,Right Foot,home,1
Kevin De Bruyne,Belgium,Manchester City,2010-11,Group Stage,,95,Right Foot, Away,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2015-16,Quarter-final,Napoli,59,Free Kick,Away,1
Neymar Jr,Brazil,Barcelona,2015-16,Final,,51,Free Kick,AWAY,3
Alessandro Del Piero,Italy,Juventus,2013-14,Round of 16,Inter Milan,67,Penalty, Away,1
Raul Gonzalez,Spain,Real Madrid,2015-16,Semi-final,Ajax,69,Header,Home,2
Raul Gonzalez,,Real Madrid,2015-16,Group Stage,Atletico Madrid,52,header,AWAY,1
Alessandro Del Piero,Italy,Juventus,2016-17,R16,,71,Free Kick,Home ,2
Cristiano Ronaldo,Portugal,Real Madrid,2016-17,Round of 16,Benfica,85,Free Kick,Home ,2
Lionel Messi,Argentina,Barcelona,2021-22,Quarter-final,,26',Header,Home ,1
Filippo Inzaghi,Italy,AC Milan,2020-21,Group Stage,Real Madrid,7,Penalty,AWAY,1
Paulo Dybala,Argentina,Juventus,2019-20,Semi-final,Bayern Munich,17,Left Foot, Away,2
Ruud van Nistelrooy,Netherlands,Real Madrid,2014-15,GROUP STAGE,Inter Milan,29,Right Foot,Home,1
Victor Osimhen,Nigeria,Napoli,2022-23,Quarter-final,Borussia Dortmund,55,Penalty,Home ,1
Cristiano Ronaldo,Portugal,Manchester United,2016-17,R16,Inter Milan,18,right foot,AWAY,1
Ruud van Nistelrooy,Netherlands,Real Madrid,2010-11,Quarter-final,Juventus,59,right foot,Away,2
Kevin De Bruyne,Belgium,Manchester City,2017-18,Group stage,Barcelona,75,Right Foot, Away,2
Alessandro Del Piero,Italy,Juventus,2022-23,Group stage,Juventus,57,Free Kick,Home ,1
Kevin De Bruyne,Belgium,Manchester City,2017-18,R16,Juventus,96,Penalty,Away,2
Jude Bellingham,England,Real Madrid,2016-17,Group stage,Atletico Madrid,91,PENALTY,home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2014-15,Round of 16,Inter Milan,17,right foot,Home ,2
Antoine Griezmann,France,Atletico Madrid,2019-20,Group Stage,Inter Milan,82,right foot,Away,2
Memphis Depay,Netherlands,Barcelona,2023-24,Round of 16,Real Madrid,57,header,Home ,1
Toni Kroos,Germany,Real Madrid,2015-16,R16,Benfica,11,Header,Home,2
Luis Suarez,Uruguay,Barcelona,2015-16,R16,Tottenham Hotspur,11,Header, Away,3
Andriy Shevchenko,Ukraine,Chelsea,2020-21,GROUP STAGE,,34,PENALTY,Home ,2
  ANTOINE GRIEZMANN  ,France,Atletico Madrid,2023-24,Semi-final,Chelsea,87,Free Kick,Away,1
Kylian Mbappe,France,Real Madrid,2023-24,Final,Sevilla,31,Right Foot,Away,1
  THOMAS MULLER  ,Germany,Bayern Munich,2023-24,Group Stage,,18,Free Kick,AWAY,3
Alessandro Del Piero,Italy,Juventus,2012-13,Group Stage,Liverpool,17,right foot,Home ,1
Karim Benzema,France,Real Madrid,2017-18,Quarter-final,Tottenham Hotspur,21,Free Kick, Away,1
Robert Lewandowski,Poland,Barcelona,2014-15,Final,Barcelona,12,Penalty, Away,1
Kevin De Bruyne,Belgium,Manchester City,2010-11,Quarter-final,Manchester City,78,header,Home,1
Memphis Depay,Netherlands,Barcelona,2011-12,Group stage,Inter Milan,37,Header,Home,1
Kylian Mbappe,France,Real Madrid,2023-24,Group stage,Paris Saint-Germain,9,Penalty,Home,1
Jude Bellingham,England,Real Madrid,2010-11,Semi-final,Benfica,95,Free Kick,home,1
Julian Alvarez,Argentina,Manchester City,2021-22,Quarter-final,AC Milan,4,Left Foot,Home ,2
Riyad Mahrez,Algeria,Manchester City,2013-14,Group Stage,Real Madrid,6,Right Foot,Away,1
Toni Kroos,Germany,Real Madrid,2013-14,Semi-final,Real Madrid,9,Left Foot,Home ,1
Ousmane Dembele,France,Paris Saint-Germain  ,2013-14,Final,Paris Saint-Germain,81,PENALTY,home,1
Kevin De Bruyne,Belgium,Manchester City,2016-17,Quarter-final,Juventus,24,Right Foot,Away,2
Antoine Griezmann,France,Atletico Madrid,2011-12,GROUP STAGE,Borussia Dortmund,45,right foot,AWAY,1
Raul Gonzalez,Spain,Real Madrid,2015-16,Semi-final,Ajax,69,Header,Home,2
Mohamed Salah,Egypt,Liverpool,2011-12,GROUP STAGE,Tottenham Hotspur,,Left Foot,AWAY,2
Cristiano Ronaldo,Portugal,Manchester United,2014-15,Quarter-final,,45,Free Kick,Home ,3
Edinson Cavani,Uruguay,Paris Saint-Germain,2022-23,Quarter-final,Bayern Munich,40,Left Foot,Home ,1
Alfredo Di Stefano,Argentina,Real Madrid,2014-15,Quarter-final,Porto,21,Header,Home ,1
Kevin De Bruyne,,Manchester City,2017-18,Semi-final,Manchester United,,Right Foot,Away,3
Robert Lewandowski,Poland,Bayern Munich,2013-14,Quarter-final,Chelsea,55,Right Foot,Home ,1
Luka Modric,Croatia,Real Madrid,2010-11,GROUP STAGE,Manchester United,83,Right Foot,home,1
Memphis Depay,Netherlands,Barcelona,2023-24,Group Stage,,4,Left Foot,Home,3
Cristiano Ronaldo,Portugal,Real Madrid,2013-14,Group Stage,Inter Milan,8,PENALTY,Home ,2
Alfredo Di Stefano,Argentina,Real Madrid,2014-15,GROUP STAGE,Manchester United,78,Header,Home,2
  FILIPPO INZAGHI  ,Italy,AC Milan,2012-13,Group Stage,Arsenal,73,PENALTY,home,1
Joshua Kimmich,Germany,Bayern Munich,2021-22,Final,AC Milan,79,PENALTY,Home,1
Sergio Aguero,Argentina,Manchester City  ,2012-13,Final,Paris Saint-Germain,68,Left Foot,home,1
Ruud van Nistelrooy,Netherlands,Real Madrid,2023-24,GROUP STAGE,Bayern Munich,36,header,home,1
Harry Kane,England,Bayern Munich,2021-22,Semi-final,,72,Penalty,Home,1
Vinicius Junior,Brazil,Real Madrid,2013-14,Group Stage,,66,Right Foot,Home ,3
Kevin De Bruyne,Belgium,Manchester City,2011-12,Semi-final,Bayern Munich,18,Penalty,AWAY,1
Alessandro Del Piero,Italy,Juventus,2016-17,Quarter-final,Liverpool,55,Penalty, Away,1
Kevin De Bruyne,Belgium,Manchester City,2019-20,Round of 16,,2,PENALTY,AWAY,1
Thomas Muller,,Bayern Munich,2020-21,GROUP STAGE,,60,Penalty, Away,2
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2015-16,Semi-final,Chelsea,23',header, Away,1
Ousmane Dembele,France,Barcelona,2022-23,Semi-final,Real Madrid,1,Penalty, Away,1
Jude Bellingham,England,Real Madrid,2016-17,Quarter-final,Porto,61,right foot,Home,1
Thomas Muller,Germany,Bayern Munich,2010-11,Round of 16,Manchester City,64,right foot,Away,1
Bernardo Silva,Portugal,Manchester City,2020-21,Round of 16,Paris Saint-Germain,88',Free Kick, Away,1
Luis Suarez,Uruguay,Atletico Madrid,2018-19,R16,Porto,7,Header,Home,2
  LUKA MODRIC  ,Croatia,Real Madrid,2017-18,Quarter-final,Tottenham Hotspur,5,right foot,Home,1
Bukayo Saka,England,Arsenal,2015-16,Round of 16,Manchester City,48,Left Foot,Away,2
Toni Kroos,Germany,Real Madrid,2023-24,GROUP STAGE,Napoli,10,PENALTY,home,1
Paulo Dybala,Argentina,Juventus,2011-12,Semi-final,,42,Free Kick, Away,2
Luis Suarez,Uruguay,Barcelona,2010-11,Final,Napoli,12,Right Foot, Away,1
Thomas Muller,Germany,Bayern Munich,2013-14,Round of 16,Tottenham Hotspur,61,Right Foot,Home ,1
Victor Osimhen,Nigeria,Napoli,2016-17,GROUP STAGE,Real Madrid,89,Free Kick,Away,1
Victor Osimhen,Nigeria,Napoli,2019-20,GROUP STAGE,Real Madrid,20,PENALTY,Away,1
Karim Benzema,France,Real Madrid,2019-20,Final,Bayern Munich,28,Right Foot,home,1
Memphis Depay,Netherlands,Barcelona,2012-13,Group stage,Sevilla,6,Free Kick,Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2019-20,Group stage,Barcelona,3,Header,Away,1
Ousmane Dembele,France,Barcelona,2017-18,Final,Ajax,55,right foot,home,2
Gareth Bale,Wales,Real Madrid,2020-21,R16,Atletico Madrid,86,Penalty,Home,1
Kylian Mbappe,France,Paris Saint-Germain,2016-17,GROUP STAGE,Porto,65,Header,Home ,2
Alfredo Di Stefano,Argentina,Real Madrid,2022-23,Group Stage,Ajax,6,Penalty,Home,1
Kevin De Bruyne,Belgium,Manchester City,2013-14,Group stage,Napoli,20',Penalty,Away,1
Ruud van Nistelrooy,Netherlands,Real Madrid,2018-19,Group Stage,Sevilla,17,Right Foot, Away,1
Thomas Muller,Germany,Bayern Munich,2014-15,GROUP STAGE,Liverpool,79,PENALTY,Away,3
Joshua Kimmich,Germany,Bayern Munich,2013-14,Round of 16,Ajax,30,Penalty,home,1
Joshua Kimmich,Germany,Bayern Munich,2013-14,Quarter-final,Paris Saint-Germain,54,Left Foot,home,1
Cristiano Ronaldo,Portugal,Real Madrid,2020-21,Semi-final,Borussia Dortmund,89,right foot,AWAY,1
Ousmane Dembele,France,Paris Saint-Germain,2018-19,Quarter-final,Manchester United,19',right foot,Home,2
Julian Alvarez,Argentina,Manchester City,2011-12,Quarter-final,Chelsea,16,right foot,Home,3
Bernardo Silva,Portugal,Manchester City,2012-13,Round of 16,Tottenham Hotspur,91,Right Foot,AWAY,3
harry kane,England,Bayern Munich,2016-17,GROUP STAGE,Bayern Munich,77,Free Kick,AWAY,1
Cristiano Ronaldo,Portugal,Real Madrid,2022-23,Quarter-final,Liverpool,49,Right Foot,home,1
filippo inzaghi,Italy,AC Milan,2019-20,Group Stage,AC Milan,1,Left Foot,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2014-15,Final,Inter Milan,11,Penalty,Home ,1
Paulo Dybala,Argentina,Juventus,2019-20,Round of 16,Barcelona,79,Free Kick,Away,1
Luis Suarez,Uruguay,Barcelona,2010-11,Final,Chelsea,21,Free Kick,Home ,3
Mohamed Salah,Egypt,Liverpool,2019-20,R16,Barcelona,71,Right Foot,Home,3
Didier Drogba,Ivory Coast,Chelsea,2013-14,Semi-final,Inter Milan,36,Free Kick,Away,3
Toni Kroos,Germany,Real Madrid,2016-17,Group stage,Porto,70,PENALTY,Home,3
Karim Benzema,France,Real Madrid,2010-11,Semi-final,Borussia Dortmund,38,Free Kick,AWAY,1
Ruud van Nistelrooy,Netherlands,Manchester United,2021-22,GROUP STAGE,Inter Milan,28,Header,home,1
  OUSMANE DEMBELE  ,France,Barcelona,2016-17,R16,AC Milan,6,PENALTY,home,2
Alfredo Di Stefano,Argentina,Real Madrid,2013-14,R16,Paris Saint-Germain,27,PENALTY,Home,2
  HARRY KANE  ,England,Tottenham Hotspur  ,2021-22,Semi-final,Porto,,PENALTY,home,1
Luis Suarez,Uruguay,Atletico Madrid,2021-22,R16,Real Madrid,86,Header,AWAY,1
Sergio Aguero,Argentina,Manchester City,2010-11,Group Stage,Barcelona,74,Free Kick,Away,2
  DIDIER DROGBA  ,Ivory Coast,Chelsea,2011-12,Semi-final,AC Milan,87,Right Foot, Away,2
Jude Bellingham,England,Real Madrid,2011-12,Round of 16,Porto,46,PENALTY, Away,1
Memphis Depay,Netherlands,Barcelona,2021-22,Quarter-final,Tottenham Hotspur,33,Penalty,Home ,1
Andriy Shevchenko,Ukraine,AC Milan,2022-23,Round of 16,Real Madrid,85,Header,AWAY,1
  GARETH BALE  ,Wales,Real Madrid,2012-13,Semi-final,Ajax,,Left Foot,home,1
Vinicius Junior,Brazil,Real Madrid,2012-13,Final,Arsenal,41,Right Foot,Home ,2
Zlatan Ibrahimovic,Sweden,Inter Milan,2020-21,Quarter-final,Liverpool,5,header,Home,1
Ruud van Nistelrooy,Netherlands,Real Madrid,2011-12,Group stage,Napoli,55,Right Foot,AWAY,2
Antoine Griezmann,France,Atletico Madrid,2018-19,Round of 16,,,PENALTY,Home,1
Karim Benzema,France,Real Madrid,2014-15,Quarter-final,Real Madrid,37,Free Kick,Away,2
Gareth Bale,Wales,Real Madrid,2019-20,Round of 16,Porto,88,PENALTY,home,2
Robert Lewandowski,Poland,Borussia Dortmund,2012-13,R16,Manchester United,61,Header,Home ,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2010-11,Group stage,Sevilla,74,Header,Away,1
Fernando Torres,Spain,Liverpool,2021-22,Group Stage,Borussia Dortmund,23,Free Kick, Away,1
Luka Modric,Croatia,Real Madrid,2014-15,Final,,88,Free Kick,Away,2
Bernardo Silva,Portugal,Manchester City,2011-12,Round of 16,Real Madrid,89,Header,Home ,3
Kevin De Bruyne,Belgium,Manchester City,2012-13,Round of 16,Inter Milan,71,right foot, Away,1
Vinicius Junior,Brazil,Real Madrid,2011-12,R16,Bayern Munich,14,Header,Home,1
  LIONEL MESSI  ,Argentina,Paris Saint-Germain,2017-18,Round of 16,Sevilla,73,PENALTY,Home,1
Julian Alvarez,Argentina,Manchester City,2021-22,Semi-final,Manchester City,40,Penalty, Away,1
Jude Bellingham,England,Real Madrid,2016-17,Quarter-final,Bayern Munich,41,Left Foot,AWAY,1
Toni Kroos,Germany,Real Madrid,2013-14,Round of 16,Juventus,23,Penalty,home,3
wayne rooney,England,Manchester United,2021-22,Group stage,Arsenal,16,Right Foot,home,2
Jude Bellingham,England,Real Madrid,2014-15,Group stage,Borussia Dortmund,23,header,Away,1
Mohamed Salah,Egypt,Liverpool,2021-22,R16,Chelsea,36',Free Kick,Home,1
Luis Suarez,Uruguay,Atletico Madrid,2023-24,Quarter-final,Napoli,34,Penalty,home,1
Luka Modric,Croatia,Real Madrid,2010-11,Group stage,Napoli,75,PENALTY,AWAY,1
Bukayo Saka,England,Arsenal,2010-11,Group Stage,Real Madrid,44,Right Foot,home,1
Didier Drogba,,Chelsea,2014-15,Semi-final,,42,PENALTY, Away,1
Thomas Muller,Germany,Bayern Munich,2016-17,Round of 16,AC Milan,60,Free Kick,home,2
Filippo Inzaghi,Italy,AC Milan,2015-16,Group stage,Benfica,65,Right Foot,Home ,3
Kevin De Bruyne,Belgium,Manchester City,2018-19,Group stage,Ajax,19,Right Foot,Away,1
Antoine Griezmann,France,Atletico Madrid,2016-17,Final,Manchester City,92,Free Kick,Home ,1
Paulo Dybala,Argentina,Juventus,2020-21,Round of 16,Sevilla,33,header, Away,1
Erling Haaland,Norway,Manchester City,2011-12,Round of 16,Borussia Dortmund,49,Left Foot,home,2
Toni Kroos,Germany,Real Madrid,2012-13,GROUP STAGE,Manchester City,44,Right Foot,Home ,1
Vinicius Junior,Brazil,Real Madrid,2022-23,Group stage,Barcelona,86,right foot, Away,2
Jude Bellingham,England,Real Madrid,2023-24,GROUP STAGE,Chelsea,30,Penalty, Away,1
Vinicius Junior,Brazil,Real Madrid,2020-21,Semi-final,Sevilla,27,right foot,Home,1
Riyad Mahrez,Algeria,Manchester City,2017-18,Final,Real Madrid,11,PENALTY, Away,2
Kevin De Bruyne,Belgium,Manchester City,2022-23,Round of 16,Tottenham Hotspur,65,right foot,AWAY,1
Jude Bellingham,England,Real Madrid,2010-11,GROUP STAGE,Napoli,41,Free Kick, Away,2
Neymar Jr,Brazil,Paris Saint-Germain,2011-12,Round of 16,,10,header,home,1
